scenario,selection_method,packets,delivered,lost,pdr,loss_ratio,average_delay,throughput_kbps,energy_consumed,network_lifetime_steps,seed
low_battery,kg_marl,1000,157,843,0.157,0.843,10.477707006369426,0.643072,235,540,48
relay_failure,static,1000,181,819,0.181,0.819,8.469613259668508,0.7413759999999999,225.88199999999847,699,48
relay_failure,baseline,1000,188,812,0.188,0.812,12.904255319148936,0.770048,228.98999999999867,756,48
relay_failure,contextual_kg,1000,184,816,0.184,0.816,11.684782608695652,0.753664,226.1339999999985,734,48
relay_failure,kg_marl,1000,185,815,0.185,0.815,12.697297297297297,0.75776,228.35999999999862,712,48
normal,static,1000,306,694,0.306,0.694,7.4640522875816995,1.253376,183.63999999999544,1000,49
normal,baseline,1000,315,685,0.315,0.685,14.58095238095238,1.29024,189.17399999999313,1000,49
normal,contextual_kg,1000,313,687,0.313,0.687,13.575079872204473,1.282048,188.92599999999294,1000,49
normal,kg_marl,1000,317,683,0.317,0.683,13.28391167192429,1.298432,189.1379999999931,1000,49
high_mobility,static,1000,214,786,0.214,0.786,8.504672897196262,0.876544,180.79999999999552,919,49
high_mobility,baseline,1000,219,781,0.219,0.781,16.634703196347033,0.897024,185.74999999999272,919,49
high_mobility,contextual_kg,1000,219,781,0.219,0.781,14.223744292237443,0.897024,185.51599999999257,919,49
high_mobility,kg_marl,1000,218,782,0.218,0.782,15.064220183486238,0.8929279999999999,185.7579999999927,919,49
high_congestion,static,1000,227,773,0.227,0.773,8.374449339207048,0.9297920000000001,229.4519999999987,874,49
high_congestion,baseline,1000,231,769,0.231,0.769,12.86147186147186,0.946176,233.65199999999885,874,49
high_congestion,contextual_kg,1000,229,771,0.229,0.771,12.406113537117903,0.937984,230.33399999999872,874,49
high_congestion,kg_marl,1000,229,771,0.229,0.771,12.930131004366812,0.937984,230.41799999999873,874,49
low_battery,static,1000,194,806,0.194,0.806,6.690721649484536,0.794624,235,563,49
low_battery,baseline,1000,195,805,0.195,0.805,8.682051282051281,0.79872,235,566,49
low_battery,contextual_kg,1000,193,807,0.193,0.807,8.658031088082902,0.790528,235,545,49
low_battery,kg_marl,1000,190,810,0.19,0.81,8.810526315789474,0.77824,235,540,49
relay_failure,static,1000,212,788,0.212,0.788,7.264150943396227,0.868352,225.88199999999847,699,49
relay_failure,baseline,1000,214,786,0.214,0.786,11.317757009345794,0.876544,228.98999999999867,756,49
relay_failure,contextual_kg,1000,214,786,0.214,0.786,10.495327102803738,0.876544,226.1339999999985,734,49
relay_failure,kg_marl,1000,214,786,0.214,0.786,10.878504672897197,0.876544,228.35999999999862,712,49
